,,,,,,
"""Das Gipfelkreuz""",1330,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Abereck,1461,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Ahornkopf (Schleching),1540,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Aibleck,1756,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Angerstein,1482,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Aschauer Zipf,1019,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Aschauerkopf,1075,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Wegloser Gipfel. Über Norden hohes Gras
Augenstein,1584,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Aukogel,1485,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Bairerkopf,1283,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,"wenig begangener kleiner Gipfel mit Kreuz oberhalb der Bairer oder Bayrer Alm. Mit Gedenktafel für Dave März,"
Bauernwand,1580,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Bischofsstuhl,1516,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Bogenhorn,1476,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Bogn Nosn,1358,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Brandelberg,1516,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Brandstein,1138,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Breitenberg (Grassau),1047,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Breitenstein (Schleching),1661,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Breitwand,1159,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Brennkopf,1353,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Brennköpfl,1255,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Brunnensteinkopf,1215,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,"Geile Wiese zum suchen kurz vorm Gipfel. Geile einsame Hütte auf dem,sonnig"
Bründlingköpfl,1221,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Bürgermeisterhöhe,770,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Chiemkogel,1066,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Dampfschiff,1425,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Dandlberg,920,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Dickkopf,1183,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Dietrichshorh,1542,"Berg, Gipfel",Österreich,Salzburg,Chiemgauer Alpen,
Drei Sennerinnen,1185,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Durlachkopf,1395,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Dürnbacheck,1593,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
